CustomerId,Age,Gender,isCustomerSuspended,CallDropRate,NumberOfComplaints,MonthlyBilledAmount - Rs,UnpaidBalance - Rs,NumberOfMonthUnpaid,TotalMinsUsedInLastMonth,TotalCallDuration,AvgCallDuration,PercentageCallOutsideNetwork,isChurned
78,72,Female,Yes,0.04,3,480,1890,5,226,1804,360,0.7,No
79,34,Male,Yes,0.02,0,2220,2340,3,423,2090,696,0.15,No
80,50,Male,Yes,0.04,3,2430,5640,0,426,1398,699,0.36,Yes
81,13,Female,Yes,0.02,0,570,6090,6,123,6227,889,0.82,No
82,28,Male,Yes,0.04,2,810,1890,4,127,2644,1322,0.03,No
83,59,Female,Yes,0.02,0,2550,2340,1,324,2084,694,0.49,No
84,75,Female,Yes,0.04,2,2760,5640,7,327,6657,739,0.7,No
85,37,Male,Yes,0.03,3,900,6090,4,24,5239,873,0.15,No
86,53,Male,Yes,0.05,2,1140,1890,2,27,5971,995,0.36,No
87,15,Female,Yes,0.03,3,2850,2340,7,224,3502,583,0.82,No
88,31,Male,Yes,0.05,2,3090,5640,5,228,4301,716,0.03,No
89,62,Female,Yes,0.03,3,1230,6090,2,425,1933,483,0.49,No
90,77,Female,Yes,0.05,1,1440,1890,0,428,2210,736,0.7,No
91,40,Male,Yes,0.03,3,3180,2340,5,125,6811,973,0.15,No
92,56,Male,Yes,0.05,1,3420,5640,3,128,3741,748,0.36,No
93,18,Female,Yes,0.04,2,1560,6090,1,325,2865,573,0.82,No
94,34,Male,Yes,0.06,1,1770,1890,6,329,5656,628,0.03,No
95,64,Female,Yes,0.04,2,3510,2340,4,26,1073,1073,0.49,No
96,12,Female,Yes,0.06,1,3720,5640,1,29,5539,692,0.7,No
97,43,Male,Yes,0.04,2,1860,6090,7,226,2494,831,0.16,No
98,59,Male,Yes,0.06,0,2100,1890,4,229,7826,782,0.37,No
99,21,Female,Yes,0.04,2,3840,2340,2,426,5299,883,0.82,No
100,37,Male,Yes,0.06,0,450,5640,7,429,5290,755,0.03,No
101,67,Female,Yes,0.05,1,2190,6090,5,126,4380,730,0.49,No
102,15,Female,Yes,0.07,0,2430,1890,2,130,5676,709,0.7,Yes
103,45,Male,Yes,0.05,1,570,2340,0,327,2721,907,0.16,No
104,61,Male,Yes,0.07,3,780,5640,5,330,1699,849,0.37,No
105,24,Female,Yes,0.05,1,2520,6090,3,27,6953,695,0.82,Yes
106,40,Male,Yes,0.07,3,2730,1890,0,30,1695,423,0.03,Yes
107,70,Female,Yes,0.05,0,870,2340,6,227,5547,616,0.49,No
108,18,Female,Yes,0.07,3,1110,5640,3,231,5096,849,0.7,No
109,48,Male,Yes,0.06,0,2850,6090,1,428,5347,594,0.16,No
110,64,Female,Yes,0,3,3060,1890,6,431,2474,618,0.37,No
111,27,Female,No,0.06,0,1200,2340,4,128,3788,631,0.82,No
112,42,Male,Yes,0,2,1440,5640,2,131,1041,1041,0.04,No
113,73,Female,Yes,0.06,0,3150,6090,7,328,2458,614,0.49,No
114,21,Female,Yes,0,2,3390,1890,5,332,1230,615,0.7,Yes
115,51,Male,Yes,0.06,3,1530,2340,2,29,3897,779,0.16,Yes
116,67,Female,Yes,0.01,2,1740,5640,0,32,3439,687,0.37,No
117,29,Male,Yes,0.07,3,3480,6090,5,229,2752,550,0.83,No
118,45,Male,Yes,0.01,2,3720,1890,3,232,1157,1157,0.04,No
119,76,Female,Yes,0.07,3,1860,2340,0,429,931,465,0.49,No
120,23,Female,Yes,0.01,1,2070,5640,6,433,7281,1040,0.7,No
121,54,Male,Yes,0.07,3,3810,6090,3,130,7470,1067,0.16,No
122,70,Female,Yes,0.01,1,450,1890,1,133,8189,1023,0.37,No
123,32,Male,Yes,0.07,2,2160,2340,7,330,6706,745,0.83,No
124,48,Male,Yes,0.02,1,2400,5640,4,333,5855,731,0.04,No
125,78,Female,Yes,0,2,540,6090,2,30,2118,706,0.49,No
126,26,Female,Yes,0.02,0,750,1890,7,33,2697,674,0.71,No
127,57,Male,Yes,0,2,2490,2340,5,230,60,60,0.16,No
128,73,Female,Yes,0.02,0,2730,5640,2,234,7678,767,0.37,No
129,35,Male,Yes,0,1,870,6090,0,431,2187,546,0.83,No
130,51,Male,Yes,0.02,0,1080,1890,5,434,4983,830,0.04,No
131,13,Female,Yes,0,1,2820,2340,3,131,5029,1005,0.5,No
132,29,Female,Yes,0.03,0,3030,5640,0,134,2953,590,0.71,No
133,59,Male,Yes,0.01,1,1170,6090,6,331,4503,750,0.16,No
134,75,Female,Yes,0.03,3,1410,1860,3,335,2626,656,0.37,No
135,38,Male,Yes,0.01,1,3150,2310,1,32,3715,743,0.83,No
136,54,Male,Yes,0.03,3,3360,5610,6,35,6192,774,0.04,No
137,16,Female,Yes,0.01,0,1500,6060,4,232,3820,764,0.5,No
138,32,Female,Yes,0.03,3,1740,1860,1,235,9054,905,0.71,No
139,62,Male,Yes,0.02,0,3480,2310,7,432,8731,970,0.16,No
140,78,Female,Yes,0.04,3,3690,5610,5,436,6483,810,0.37,No
141,40,Male,Yes,0.02,0,1830,6060,2,133,2403,600,0.83,No
142,56,Male,Yes,0.04,2,2040,1860,0,136,7830,652,0.04,No
143,19,Female,Yes,0.02,3,3780,2310,5,333,3467,866,0.5,No
144,35,Male,Yes,0.04,2,420,5610,3,336,1782,594,0.71,No
145,65,Female,Yes,0.02,3,2160,6060,0,33,3374,562,0.17,No
146,13,Female,Yes,0.04,2,2370,1860,6,37,4425,632,0.38,Yes
147,43,Male,Yes,0.03,3,510,2310,3,233,2177,544,0.83,No
148,59,Male,Yes,0.05,1,750,5610,1,237,3975,795,0.04,No
149,22,Female,Yes,0.03,3,2460,6060,6,434,2456,614,0.5,No
150,37,Male,Yes,0.05,1,2700,1860,4,437,7249,805,0.71,No
151,68,Female,Yes,0.03,2,840,2310,2,134,3202,640,0.17,No
152,16,Female,Yes,0.05,1,1050,5610,7,137,1143,1143,0.38,Yes
153,46,Male,Yes,0.03,2,2790,6060,5,334,1294,647,0.83,No
154,62,Male,Yes,0.05,1,3030,1860,2,338,5631,804,0.04,No
155,24,Female,Yes,0.04,2,1170,2310,0,35,3766,941,0.5,No
156,40,Male,Yes,0.06,0,1380,5610,5,38,5641,705,0.71,No
157,71,Female,No,0.04,2,3120,6060,3,235,2260,753,0.17,No
158,18,Female,Yes,0.06,0,3330,1860,0,238,6842,684,0.38,No
159,49,Male,Yes,0.04,1,1470,2310,6,435,4540,756,0.83,No
160,65,Male,Yes,0.06,0,1710,5610,3,439,3271,654,0.05,No
161,27,Female,Yes,0.04,1,3450,6060,1,136,3823,955,0.5,No
162,43,Male,Yes,0.06,0,3660,1860,6,139,3769,628,0.71,No
163,73,Female,Yes,0.05,1,1800,2310,4,336,5749,821,0.17,No
164,21,Female,Yes,0.07,3,2040,5610,1,339,660,660,0.38,No
165,52,Male,Yes,0.05,0,3780,6060,7,36,5699,569,0.84,No
166,68,Male,Yes,0.07,3,390,1860,4,40,4488,748,0.05,No
167,30,Female,Yes,0.05,0,2130,2310,2,237,3328,832,0.5,No
168,46,Male,Yes,0.07,3,2340,5610,0,240,2091,697,0.71,No
169,76,Female,Yes,0.05,0,480,6060,5,437,4611,658,0.17,No
170,24,Female,Yes,0.07,2,720,1860,3,440,3081,1027,0.38,No
171,54,Male,Yes,0.06,0,2460,2310,0,137,3056,764,0.84,No
172,70,Female,Yes,0,2,2670,5610,6,140,5879,653,0.05,No
173,33,Female,Yes,0.06,3,810,6060,3,337,5399,899,0.5,No
174,49,Male,Yes,0,2,1050,1860,1,341,10731,825,0.72,No
175,79,Female,Yes,0.06,3,2760,2310,6,38,4181,836,0.17,No
176,27,Female,Yes,0,2,3000,5610,4,41,3116,623,0.38,No
177,57,Male,Yes,0.06,3,1140,6060,1,238,8457,939,0.84,No
178,73,Female,Yes,0,1,1350,1860,7,241,489,489,0.05,No
179,36,Male,Yes,0.07,3,3090,2310,5,438,6869,686,0.51,No
180,51,Male,Yes,0.01,1,3330,5610,2,442,4025,503,0.72,No
181,14,Female,Yes,0.07,2,1470,6060,0,139,1216,405,0.17,No
182,30,Female,Yes,0.01,1,1680,1860,5,142,1058,1058,0.38,No
183,60,Male,Yes,0.07,2,3420,2310,3,339,1321,440,0.84,No
184,76,Female,Yes,0.01,0,3630,5610,0,342,4855,693,0.05,No
185,38,Male,Yes,0.07,2,1770,6060,6,39,2799,699,0.51,No
186,54,Male,Yes,0.01,0,2010,1860,3,43,4175,463,0.72,No
187,17,Female,Yes,0,1,3750,2310,1,240,3496,699,0.17,Yes
188,32,Female,Yes,0.02,0,360,5610,6,243,7175,717,0.38,No
189,63,Male,Yes,0,1,2100,6060,4,440,3966,661,0.84,No
190,79,Female,Yes,0.02,0,2340,1860,1,443,4331,541,0.05,No
191,41,Male,Yes,0,1,480,2310,7,140,5980,747,0.51,No
192,57,Male,Yes,0.02,3,690,5610,4,144,5233,654,0.72,No
193,19,Female,Yes,0,1,2430,6060,2,340,2474,412,0.18,No
194,35,Female,Yes,0.02,3,2640,1860,7,344,10090,840,0.39,No
195,66,Male,Yes,0.01,0,780,2310,5,41,2740,685,0.84,No
196,14,Female,Yes,0.03,3,1020,5610,3,44,5021,836,0.05,No
197,44,Male,Yes,0.01,0,2760,6060,0,241,1736,578,0.51,No
198,60,Male,Yes,0.03,3,2970,1860,6,244,8961,896,0.72,No
199,22,Female,Yes,0.01,0,1110,2310,3,441,4420,736,0.18,No
200,38,Female,Yes,0.03,2,1350,5610,1,445,3079,513,0.39,No
201,68,Male,Yes,0.01,0,3060,6060,6,142,3633,519,0.84,No
202,16,Female,Yes,0.03,2,3300,1860,4,145,5205,743,0.05,No
203,47,Male,No,0.02,3,1440,2310,1,342,1802,450,0.51,No
204,63,Male,Yes,0.04,2,1650,5610,7,345,1673,557,0.72,No
205,25,Female,Yes,0.02,3,3390,6060,4,42,4406,629,0.18,No
206,41,Male,Yes,0.04,1,3630,1860,2,46,4697,671,0.39,No
207,71,Female,Yes,0.02,3,1770,2310,0,243,4576,762,0.84,No
208,19,Female,Yes,0.04,1,1980,5610,5,246,3059,1019,0.06,No
209,50,Male,Yes,0.02,2,3720,6060,3,443,2797,699,0.51,No
210,65,Male,Yes,0.05,1,330,1860,0,446,4414,735,0.72,No
211,28,Female,Yes,0.03,2,2070,2310,6,143,7655,765,0.18,No
212,44,Male,Yes,0.05,1,2310,5610,3,147,1335,667,0.39,No
213,74,Female,Yes,0.03,2,450,6060,1,344,3466,577,0.85,No
214,22,Female,Yes,0.05,0,660,1860,6,347,7362,920,0.06,No
215,52,Male,Yes,0.03,2,2400,2310,4,44,5643,806,0.51,No
216,68,Male,Yes,0.05,0,2640,5610,1,47,4699,783,0.72,No
217,31,Female,Yes,0.03,1,780,6060,7,244,1903,475,0.18,No
218,46,Male,Yes,0.06,0,990,1860,4,248,5429,678,0.39,No
219,77,Female,Yes,0.04,1,2730,2310,2,444,3041,608,0.85,No
220,25,Female,Yes,0.06,0,2940,5610,7,448,6292,786,0.06,No
221,55,Male,Yes,0.04,1,1080,6060,5,145,1407,1407,0.51,No
222,71,Male,Yes,0.06,3,1320,1860,2,148,4352,621,0.73,No
223,33,Female,Yes,0.04,1,3060,2310,0,345,1444,288,0.18,No
224,49,Male,Yes,0.06,3,3270,5610,6,348,2593,648,0.39,Yes
225,12,Female,Yes,0.04,0,1410,6060,3,45,1560,520,0.85,Yes
226,27,Female,Yes,0.07,3,1650,1860,1,49,2182,545,0.06,No
227,58,Male,Yes,0.05,0,3360,2310,6,246,3736,747,0.52,No
228,74,Male,Yes,0.07,2,3600,5610,4,249,4059,676,0.73,No
229,36,Female,Yes,0.05,0,1740,6030,1,446,2860,953,0.18,No
230,52,Male,Yes,0.07,2,1950,1830,7,449,4162,832,0.39,No
231,14,Female,Yes,0.05,3,3690,2280,4,146,193,96,0.85,No
232,30,Female,Yes,0.07,2,330,5580,2,150,1681,560,0.06,No
233,61,Male,Yes,0.06,3,2070,6030,7,347,2421,807,0.52,No
234,77,Male,Yes,0,2,2280,1830,5,350,8813,881,0.73,No
235,39,Female,Yes,0.06,3,420,2280,2,47,5085,1017,0.18,No
236,55,Male,Yes,0,1,660,5580,0,50,6527,815,0.4,No
237,17,Female,Yes,0.06,3,2370,6030,6,247,5044,840,0.85,No
238,33,Female,Yes,0,1,2610,1830,3,251,1276,638,0.06,No
239,63,Male,Yes,0.06,2,750,2280,1,448,4993,624,0.52,No
240,79,Female,Yes,0,1,960,5580,6,451,3549,709,0.73,No
241,42,Male,Yes,0.07,2,2700,6030,4,148,3594,898,0.19,No
242,58,Male,Yes,0.01,1,2940,1830,1,151,5202,1040,0.4,No
243,20,Female,Yes,0.07,2,1080,2280,7,348,2786,928,0.85,No
244,36,Female,Yes,0.01,0,1290,5580,4,351,5085,726,0.06,No
245,66,Male,Yes,0.07,1,3030,6030,2,48,6711,838,0.52,No
246,14,Female,Yes,0.01,0,3240,1830,7,52,5163,737,0.73,No
247,45,Male,Yes,0.07,1,1380,2280,5,249,3415,853,0.19,No
248,60,Male,Yes,0.01,0,1620,5580,2,252,3767,627,0.4,No
249,23,Female,No,0,1,3360,6030,0,449,4964,709,0.85,No
250,39,Female,Yes,0.02,3,3570,1830,5,452,1532,510,0.06,No
251,69,Male,Yes,0,1,1710,2280,3,149,5940,742,0.52,No
252,17,Female,Yes,0.02,3,1950,5580,0,153,6912,531,0.73,No
253,47,Male,Yes,0,0,3690,6030,6,350,5867,733,0.19,No
254,63,Male,Yes,0.02,3,300,1830,4,353,2394,598,0.4,No
255,26,Female,Yes,0,0,2040,2280,1,50,3592,598,0.86,Yes
256,41,Female,Yes,0.02,3,2250,5580,7,53,1848,924,0.07,No
257,72,Male,Yes,0.01,0,390,6030,4,250,6687,1114,0.52,No
258,20,Female,Yes,0.03,2,630,1830,2,254,3408,486,0.73,No
259,50,Male,Yes,0.01,0,2370,2280,7,451,3414,569,0.19,No
260,66,Male,Yes,0.03,2,2580,5580,5,454,4750,791,0.4,No
261,28,Female,Yes,0.01,3,720,6030,2,151,5623,702,0.86,No
262,44,Female,Yes,0.03,2,960,1830,0,154,2250,450,0.07,No
263,75,Male,Yes,0.01,3,2670,2280,5,351,3503,875,0.52,No
264,23,Female,Yes,0.03,2,2910,5580,3,355,3063,612,0.73,No
265,53,Male,Yes,0.02,3,1050,6030,1,51,1106,553,0.19,No
266,69,Male,Yes,0.04,1,1260,1830,6,55,6073,759,0.4,No
267,31,Female,Yes,0.02,2,3000,2280,4,252,6739,673,0.86,No
268,47,Male,Yes,0.04,1,3240,5580,1,255,6732,673,0.07,No
269,77,Male,Yes,0.02,2,1380,6030,7,452,3764,941,0.52,No
270,25,Female,Yes,0.04,1,1590,1830,4,455,6713,959,0.74,No
271,56,Male,Yes,0.02,2,3330,2280,2,152,1433,716,0.19,No
272,72,Male,Yes,0.04,0,3540,5580,7,156,2641,660,0.4,No
273,34,Female,Yes,0.03,2,1680,6030,5,353,6171,771,0.86,Yes
274,50,Male,Yes,0.05,0,1920,1830,2,356,2792,698,0.07,No
275,12,Female,Yes,0.03,1,3660,2280,0,53,5283,880,0.53,No
276,28,Female,Yes,0.05,0,3870,5580,5,56,2647,529,0.74,No
277,59,Male,Yes,0.03,1,2010,6030,3,253,4536,756,0.19,No
278,74,Male,Yes,0.05,0,2250,1830,0,257,4783,956,0.4,No
279,37,Female,Yes,0.03,1,390,2280,6,454,2739,684,0.86,No
280,53,Male,Yes,0.05,3,600,5580,3,457,4755,951,0.07,No
281,15,Female,Yes,0.04,1,2340,6030,1,154,490,245,0.53,No
282,31,Female,Yes,0.06,3,2550,1830,7,157,1092,546,0.74,No
283,61,Male,Yes,0.04,0,690,2280,4,354,5631,625,0.19,No
284,77,Male,Yes,0.06,3,930,5580,2,358,4675,779,0.41,No
285,40,Female,Yes,0.04,0,2670,6030,7,55,5599,699,0.86,No
286,55,Male,Yes,0.06,2,2880,1830,5,58,4259,1064,0.07,No
287,18,Female,Yes,0.04,0,1020,2280,2,255,5822,831,0.53,No
288,34,Female,Yes,0.06,2,1260,5580,0,258,5941,660,0.74,Yes
289,64,Male,Yes,0.05,3,2970,6030,5,455,5695,1139,0.2,Yes
290,12,Male,Yes,0.07,2,3210,1830,3,458,2821,705,0.41,No
291,42,Female,Yes,0.05,3,1350,2280,0,155,3626,725,0.86,No
292,58,Male,Yes,0.07,2,1560,5580,6,159,4330,541,0.07,No
293,21,Female,Yes,0.05,3,3300,6030,4,356,3889,777,0.53,Yes
294,37,Female,Yes,0.07,1,3540,1830,1,359,6907,627,0.74,No
295,67,Male,Yes,0.05,3,1680,2280,7,56,1111,370,0.2,No
296,15,Male,Yes,0.07,1,1890,5580,4,59,4080,816,0.41,No
297,45,Female,Yes,0.06,2,3630,6030,2,256,9334,848,0.86,No
298,61,Male,Yes,0,1,3840,1830,7,260,1919,479,0.07,No
299,23,Female,Yes,0.06,2,1980,2280,5,457,4802,800,0.53,No
300,39,Female,Yes,0,1,2220,5580,2,460,1771,442,0.74,Yes
301,70,Male,Yes,0.06,2,360,6030,0,157,2536,634,0.2,No
302,18,Female,Yes,0,0,570,1830,5,160,3406,851,0.41,Yes
303,48,Male,Yes,0.06,2,2310,2280,3,357,4937,617,0.87,No
304,64,Male,Yes,0,0,2550,5580,0,361,3992,798,0.08,No
305,26,Female,Yes,0.07,1,690,6030,6,58,4223,844,0.53,No
306,42,Female,Yes,0.01,0,900,1830,3,61,8298,1037,0.74,No
307,72,Male,Yes,0.07,1,2640,2280,1,258,3790,631,0.2,No
308,20,Female,Yes,0.01,3,2850,5580,6,261,3441,860,0.41,No
309,51,Male,Yes,0.07,1,990,6030,4,458,4869,541,0.87,No
310,67,Male,Yes,0.01,3,1230,1830,2,462,4541,756,0.08,Yes
311,29,Female,Yes,0.07,0,2970,2280,7,158,2140,428,0.53,No
312,45,Female,Yes,0.02,3,3180,5580,5,162,4404,880,0.74,No
313,75,Male,Yes,0,0,1320,6030,2,359,5990,665,0.2,No
314,23,Female,Yes,0.02,3,1560,1830,0,362,3965,793,0.41,No
315,54,Male,Yes,0,0,3270,2280,5,59,1017,1017,0.87,No
316,69,Male,Yes,0.02,2,3510,5580,3,62,3653,730,0.08,No
317,32,Female,Yes,0,0,1650,6030,0,259,3556,889,0.53,No
318,48,Female,Yes,0.02,2,1860,1830,6,263,6669,833,0.75,No
319,78,Male,Yes,0,3,3600,2280,3,460,5202,867,0.2,No
320,26,Female,Yes,0.03,2,3840,5580,1,463,1543,308,0.41,Yes
321,56,Male,Yes,0.01,3,1980,6030,7,160,3562,890,0.87,No
322,72,Male,Yes,0.03,2,2190,1830,4,163,2419,604,0.08,No
323,35,Female,Yes,0.01,3,330,2280,2,360,2227,371,0.54,No
324,50,Female,Yes,0.03,1,540,5550,7,364,2245,748,0.75,No
325,13,Male,Yes,0.01,3,2280,6000,5,61,6636,829,0.2,No
326,29,Female,Yes,0.03,1,2520,1800,2,64,3064,612,0.41,No
327,59,Male,Yes,0.02,2,660,2250,0,261,7613,1087,0.87,No
328,75,Male,No,0.04,1,870,5550,5,264,2418,604,0.08,No
329,37,Female,Yes,0.02,2,2610,6000,3,461,2628,876,0.54,No
330,53,Male,Yes,0.04,0,2850,1800,0,465,5503,687,0.75,No
331,16,Male,Yes,0.02,2,990,2250,6,162,7418,824,0.2,No
332,32,Female,Yes,0.04,0,1200,5550,3,165,3596,449,0.42,No
333,62,Male,Yes,0.02,1,2940,6000,1,362,1805,601,0.87,No
334,78,Male,Yes,0.04,0,3150,1800,6,365,3416,683,0.08,No
335,40,Female,Yes,0.03,1,1290,2250,4,62,1009,504,0.54,No
336,56,Male,Yes,0.05,0,1530,5550,1,66,958,319,0.75,No
337,18,Female,Yes,0.03,1,3270,6000,7,262,3793,632,0.21,No
338,34,Female,Yes,0.05,3,3480,1800,5,266,3114,622,0.42,No
339,65,Male,Yes,0.03,1,1620,2250,2,463,10082,775,0.87,No
340,13,Male,Yes,0.05,3,1860,5550,0,466,1308,436,0.08,No
341,43,Female,Yes,0.03,0,3600,6000,5,163,4562,912,0.54,No
342,59,Male,Yes,0.05,3,3810,1800,3,166,5029,838,0.75,No
343,21,Female,Yes,0.04,0,1950,2250,0,363,334,334,0.21,No
344,37,Female,Yes,0.06,3,2160,5550,6,367,1023,511,0.42,No
345,68,Male,Yes,0.04,0,300,6000,3,64,1711,342,0.87,No
346,15,Male,Yes,0.06,2,540,1800,1,67,4799,799,0.08,No
347,46,Female,Yes,0.04,3,2280,2250,6,264,3076,384,0.54,No
348,62,Male,Yes,0.06,2,2490,5550,4,267,4263,1065,0.75,No
349,24,Female,Yes,0.04,3,630,6000,2,464,4017,573,0.21,No
350,40,Female,Yes,0.06,2,870,1800,7,468,6321,790,0.42,No
351,70,Male,Yes,0.05,3,2580,2250,5,165,4690,670,0.88,Yes
352,18,Male,Yes,0.07,1,2820,5550,2,168,4898,544,0.09,Yes
353,49,Female,Yes,0.05,3,960,6000,0,365,5041,1260,0.54,No
354,64,Male,Yes,0.07,1,1170,1800,5,368,3737,533,0.75,No
355,27,Female,Yes,0.05,2,2910,2250,3,65,2835,405,0.21,No
356,43,Female,Yes,0.07,1,3150,5550,0,69,4608,768,0.42,No
357,73,Male,Yes,0.05,2,1290,6000,6,266,4022,1005,0.88,No
358,21,Male,Yes,0.07,1,1500,1800,3,269,756,378,0.09,No
359,51,Female,Yes,0.06,2,3240,2250,1,466,2943,735,0.54,No
360,67,Male,Yes,0,0,3450,5550,6,469,3096,516,0.75,No
361,30,Female,Yes,0.06,2,1590,6000,4,166,3691,922,0.21,No
362,46,Female,Yes,0,0,1830,1800,1,169,7580,758,0.42,No
363,76,Male,Yes,0.06,1,3570,2250,7,366,3026,605,0.88,No
364,24,Female,Yes,0,0,3780,5550,4,370,3790,541,0.09,No
